ダウンロードした時刻：2020/08/09 11:20:16

,江刺,江刺,江刺
年月,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2015/1,0.1,8,1
2015/2,1.3,8,1
2015/3,5.3,8,1
2015/4,10.9,8,1
2015/5,17.3,8,1
2015/6,19.9,8,1
2015/7,24.8,8,1
2015/8,24.1,8,1
2015/9,19.5,8,1
2015/10,12.7,8,1
2015/11,8.2,8,1
2015/12,2.8,8,1
2016/1,0.1,8,1
2016/2,0.8,8,1
2016/3,4.8,8,1
2016/4,10.4,8,1
2016/5,16.7,8,1
2016/6,19.6,8,1
2016/7,22.8,8,1
2016/8,25.2,8,1
2016/9,21.5,8,1
2016/10,13.0,8,1
2016/11,5.5,8,1
2016/12,2.4,8,1
2017/1,-0.4,8,1
2017/2,0.6,8,1
2017/3,3.3,8,1
2017/4,9.9,8,1
2017/5,16.8,8,1
2017/6,18.4,8,1
2017/7,24.8,8,1
2017/8,22.9,8,1
2017/9,19.2,5,1
2017/10,13.0,8,1
2017/11,6.5,8,1
2017/12,0.3,8,1
2018/1,-1.5,8,1
2018/2,-2.2,8,1
2018/3,4.9,8,1
2018/4,10.7,8,1
2018/5,16.1,8,1
2018/6,20.0,8,1
2018/7,25.4,8,1
2018/8,24.1,8,1
2018/9,19.7,8,1
2018/10,14.2,8,1
2018/11,7.5,8,1
2018/12,1.5,8,1
2019/1,-0.4,8,1
2019/2,0.4,8,1
2019/3,4.6,8,1
2019/4,8.9,8,1
2019/5,16.9,8,1
2019/6,19.2,8,1
2019/7,23.0,8,1
2019/8,25.9,8,1
2019/9,21.0,8,1
2019/10,14.9,8,1
2019/11,6.9,8,1
2019/12,1.9,8,1
